Organization Name,Industries,CB Rank (Organization),Full Description
Magic Kids,"EdTech, Edutainment, Gaming","64,474","Magic Kids is a game-based learning platform for 4-8 year-old kids that increases their learning time by up to 500% using interactive lessons created by teachers. We are developing an open platform for game-based learning. With generative technology, teachers and developers can create interactive gaming-lessons and game mechanics for children. And every child everywhere can get high quality education and communicate with each other, no matter where they are."
GeckoLabs,"Computer, EdTech, Education, Information Technology, Marketing, SaaS, Software","64,518","Today, GeckoEngage offers two products — both still focused around freeing HigherEd teams to focus on high-impact activities. Institutions can now communicate with students one-to-one, and at scale, with our AI-powered conversational messaging platform, Chat. Our clients consolidate all their messaging channels into a single, team-managed inbox. And then, using our customizable bots, they capture leads, answer questions and register event attendees on autopilot, 24/7. Our visit experience platform enables schools to create sophisticated, multi-channel event playbooks, designed to take students from curious inquirers through to enrolled students. Combining key pre-event, on-the-day and post-event activities within a single platform showcases your school as a modern, responsive institution whilst providing your Admissions team with powerful tools to run streamlined, impactful events."
SelfStudy,"E-Learning, EdTech, Education, Information Technology","64,670","SelfStudy is a learning optimization technology company offering professional societies and publishers the first Al-powered cloud platform for delivering personalized content discovery and adaptive learning programs. They turn articles, videos, books, lectures, podcasts, etc. into blended micro-learning and micro-assessment challenges."
Edlink,"Developer APIs, EdTech, Software","64,698","Edlink provides two-way connections for e-learning and companies and publishers to tackle challenges like single-sign-on (SSO), rostering, content integration, and grade pass-back. The company was founded in 2020 and is headquartered in Austin, Texas, United States."
Friends University,"Art, E-Learning, EdTech, Universities","64,852","Friends University in Wichita, Kansas prides itself on its combination of conventional and innovative degree programs and a tight-knit environment that values Christian spirituality and the creative arts. Friends University’s traditional academics include a broad spectrum of offerings. Students may earn a bachelor’s and/or graduate degree in such fields as Business Administration, English, Forensic Sciences, History, Sociology, Theatre and Zoology. Adults who would like to begin or continue their bachelor’s degree may attend Friends University’s innovative adult-degree completion program and earn a degree in such fields as Accounting, Computer Information Systems or Human Resource Management. Small classes are always a part of the Friend’s University experience. This personalized feeling of community carries over into the student life as well. Since Friends University is a Christian school, one important part of student life is its religious offerings, such as campus ministry. The arts also thrive at Friends. A well-known ballet program, gallery exhibits, theatre performances, school choirs and instrumental ensembles are some of the creative activities in which students may participate. Friends University awards financial aid to students who meet certain requirements, and school counselors are available to help with the process. If you’re interested in attending Friends University, a representative can answer any other questions you may have and help you begin the application process."
Kunduz,"EdTech, Education, Mobile Apps","64,853","Kunduz makes study help from a real tutor as affordable as $15 / month thanks to its product that blends its tutor platform and proprietary AI in the same pod. Unlike conventional resources such as private tutors or ed-tech platforms that are practically online solution manuals, Kunduz makes study help accessible without compromising its personalized touch nor making it ridiculously expensive. Kunduz raised its Seed Round soon after Y Combinator's 2018 Summer Batch and is currently expanding globally."
Easy-Tutor,"E-Learning, EdTech, Education","64,914","Easy-Tutor is a pure online tutoring school specializing in digital learning.  The platform allows students and parents can flexibly choose teachers from the tutoring team, and make an appointment for 1-on-1 tutoring at the right time, so as to improve scores. The curriculum includes 20 courses that cover not only common tutoring subjects like English, mathematics, physics, and history, but also subjects like accounting, business administration, and economics, as well as languages like Latin, ancient Greek, Spanish, French, and Italian."
Smart Teddy,"Big Data, EdTech, Education, Internet, Toys","64,923","Smart Teddy is a kids content delivery platform in the shape of a traditional toy. We develop a cloud platform and a chip, that can be built into any soft toy and make it connected and really smart. Today/ connected toys industry is growing by 30 percent annually and the industry is searching for solutions to make toys smart, but how do you bring that technology to toys and maintain an affordable price?   Here comes Mishka. Our supply chips to toy producers under economical terms, and then with subscription parents are getting great possibilities. The toy becomes an amazing storyteller, great assistant in upbringing and an exciting partner in interactive education."
UCode,"EdTech, Education, Tutoring","65,029","UCode operates an after-school learning center that teaches children between the ages of 6 and 16 how to code. The company was founded in 2014 and is based in Beverly Hills, California."
Code Planet,"E-Learning, EdTech, Education, Software, Training","65,092","Code Planet is an online coCode Planet belongs to Guangzhou Code Education Technology Co., Ltd. It is a computer education platform for young children who are working on 4-6 years old online small class teaching. At present, it has developed into a platform of “Online + Youth Programming Education” which integrates the research and development of educational technology, curriculum system and teaching services. mputer programing education platform for kids."
Howard County Public School System,"EdTech, Education","65,121",Howard County Public School System provides education to students to reach their milestones.
Rosalyn.ai,"Analytics, Artificial Intelligence, B2B, EdTech, Enterprise Software, Information Technology, SaaS, Software","65,387","Rosalyn is an end-to-end enterprise virtual assessment platform. With Rosalyn, you can administer exams securely to anyone, anytime, anywhere in the world. Exams are invigilated in real-time by Rosalyn’s human-in-the-loop artificial intelligence technology. This superhuman proctoring is supported by a platform that streamlines and simplifies every aspect of your assessment program. Authoring, publishing, delivery, and reporting are under your direct control. Powerful analytics give you the pipeline insights you need to make the most of your certification ecosystem. Hosted in the cloud and delivered by web, Rosalyn’s cutting-edge technology delivers an exceptional experience to test sponsor and test taker alike."
Path (fka ScholarMe),"EdTech, Financial Services, FinTech, Information Services, Information Technology","65,495","Path is a neobank for college students that helps them build credit with a debit card and save thousands on college. Path Card assists individuals in building credit and earning up to 10% cashback on all purchases, all while preventing overspending."
iSchoolConnect,"Artificial Intelligence, EdTech, Education, Higher Education, Machine Learning, Software","65,616","iSchoolConnect uses the power of artificial intelligence and predictive analytics to match students with the best programs, chatbots to assist at every step of the application process, essay grading tools to help build the perfect essay, video intelligence AI to train for interviews, resume and transcript reading tools to automate profile filling, and many more. We partner with schools and provide these tools as a service. iSchoolConnect is a Google Sponsored Startup."
Get More Brain,"Artificial Intelligence, E-Learning, EdTech, Education, Mobile Apps, Software","65,667","Digital learning platform connecting learners and their employers with teachers and schools, publishers and EdTech companies. Marketplace for learning content and learning related services."
Dabble,"Communities, Digital Marketing, E-Learning, EdTech, Education, Marketplace","65,734","Founded in 2011, Dabble is a marketplace for affordable, in-person classes. A social experience that fulfills people's desires to learn new things without over-committing themselves. Through an online portal, Dabble makes it easy for people to list classes by facilitating the transaction and providing a market of curious learners. Class topics range from arts and culinary to business and technical, and users are encouraged to stretch their imagination in regards to the limitless possibilities for dabbling.  Teachers include passionate experts and businesses, and for them, Dabble serves as a lead generation vehicle, additional income stream, and creative outlet. Dabble also offers local businesses the opportunity to host classes that are relevant to them, increasing exposure and driving incremental business. The process for submitting a class occurs online, and anyone is invited to teach."
hundo.xyz,"B2B, B2C, Blockchain, Career Planning, Cryptocurrency, EdTech","65,858","hundo.xyz is the first skills platform to validate and verify qualifications on-chain in a soulbound NFT skills wallet for Gen Z to replace the CV/resume. We are an EdTech company augmenting mandatory education with the employability skills needed across frontier tech in partnership with educators and employers. Our on-demand content stream 'CareerCon' enables young people, parents, educators and employers to discover the future of learning and work."
Edurupt,"E-Learning, EdTech, Education","65,886","Edurupt is an ed-tech company delivering skill development courses in the Digital Hybrid Cohort model (Digital Content & Online Instructor-led). We follow a cohort model of education where students can interact and learn from each other. The best of both worlds - human interaction and highly scalable digital content are brought together in our platform. Our vision is to make high-quality, skill-based education affordable."
Sqore,"College Recruiting, EdTech, Education, Recruiting, Skill Assessment","65,921","Smart Recruitment - Automate the process between your job ad and the first interview. Increase screening efficiency Efficiently screen your candidates based on their skills and motivation - automagically - regardless of number of candidates. Deepen candidate engagement Engage today’s generation of candidates through rewarding experiences and allow them to get insights into your company before the interview. Lower your hiring costs We don't charge per candidate. Evaluate 100,000 candidates at the same cost as 100 - no need to limit yourself in the search for new talent."
Melvano,"Artificial Intelligence, EdTech","65,927","Melvano offers foundation courses, crash courses, test series & personal mentoring. Students can improve their score and crash courses. The Melvano app uses artificial intelligence to find weak areas of students and creates customized coursework for them, which reduces preparation time for exams. The biggest advantage of Melvano is that each student gets a personal IIT mentor who guides them throughout the course, keeps a track of performance, and rigorously train them to help them crack JEE."
Little Thinking Minds,"Content, E-Learning, EdTech, Education, Language Learning, Online Portals","65,936","Little Thinking Minds is an educational technology company that creates educational products and resources among school aged children to improve learning outcomes, advance skills and increase cultural connectedness. Initially the company started producing literacy content that addressed preschool basics focusing on early literary and numeracy. In 2015, capitalizing on their content expertise and wealth of lessons learnt interacting in the educational regional market they started developing online Arabic literacy solutions for schools, teachers and students. Their product, I Read Arabic, is the first and largest digital reading platform in the world. It provides children with a gamified journey containing hundreds of Arabic children’s books sourced from award-winning publishers in the region. KG Arabic introduces early learners to Arabic and enhances their vocabulary acquisition and fluency. Their latest platform I Start Arabic is designed for non-native speakers to learn the basics of the Arabic language and provides users with words and expressions that are necessary for everyday communication."
Tekie,"EdTech, Education","65,973",Tekie is a live coding platform that brings the art of storytelling to make learning a movie-like experience.
HeyTimi,"EdTech, Education","66,053","HeyTimi is a highly tech-focused online learning company leveraging their technology to make tutoring much more efficient for tutors while at the same time offering a refreshing learning environment for school students which makes learning a more personalized, joyful and effective experience."
CodeBerry Programming School,"Digital Media, E-Learning, EdTech, Education, Software, Training","66,068","CodeBerry Programming School offers computer programming courses online. It offers various Web programming courses, such as HTML5 coding, CSS3, Javascript programming, Bootstrap, Node.js programming, and Git.  András P. Tóth, Dávid Veszelovszki, László Békéssy, and Ádám Freisinger founded CodeBerry Programming School in 2016. It has its headquarters in Budapest in Hungary."
Pandai,"E-Learning, EdTech, Education, Primary Education, Secondary Education","66,074","Pandai is an education app that offers a personalized learning experience through curriculum-based daily quizzes, tests, exams, videos to help students get better grades."
AfterSchool HQ,"EdTech, Marketplace, Software","66,129","AfterSchool HQ replaces the extracurricular activity flyer at schools enabling parents to find, register, and pay for programs online. The company aims to connect students with after-school and summer learning programs."
Creanovation,"Cloud Computing, Digital Marketing, EdTech, Education","66,137","Creanovation is a developer of cloud-based business solutions for the education industry. The company features a team of technologists, digital marketers, campaign strategists, and admission professionals who offer custom-built CRMs for universities. Creanovation was established in 2019 by"
Irish Global Health Education Innovation,"Association, E-Learning, EdTech, Education, Health Care, Internet, Training, Universities","66,178","iheed is an online medical education company that designs, develops, and delivers online accredited post-graduate education programs and degrees in partnership with medical universities. The company is built by doctors and healthcare professionals (HCPs) for doctors and healthcare professionals. iheed offers certificate, diploma, and Masters level education material to HCPs, packaged in modules. It utilizes technologies to offer the students a personalized, multi-sensory, multi-device learning experience suited to their learning style. Its programs and courses are adapted to the requirements of the healthcare system in different countries combining global best practice in medical training with local population healthcare needs.  Its programs and courses are aimed at addressing the broad topics of healthcare need for frontline HCPs globally such as diabetes, women’s health, neurodegenerative diseases, cardiology, travel medicine, infection control, emergency medicine, disaster planning, research methodologies, practice management, nursing and pharmacology, and more. The iheed Online Learning Environment (OLE) is a next generation cloud-based platform for online education supports interactive case-based learning methods, provides practical real-world education for practicing clinicians, and helps them build up their clinical, professional, and communication skills in patient consultation. It offers a number of features aimed at tutors and administrators such as rubrics, Speedgrader, and Turnitin to support tutors in reviewing and grading student assignments, extensive reporting and analytics, targeted messaging, and various views that enable tutors to identify students that are not keeping up with the instruction or meeting pre-defined learning thresholds. Tutors of iheed’s Tutor Network hold weekly, bi-monthly, and per topic tutorial discussions via the web conferencing system within the iheed OLE platform to ensure students are aware of what is expected of them each week, and to discuss the key learning points in the context of the students’ day-to-day practices.  iheed works in partnership with many medical universities, global health organizations, and technology companies, including University of Florida Health, Qualcomm, Hamad International Training Center, Johnson & Johnson, Health Human Resources Development Center, HP, Harvard School of Public Health, Tropical Medical Bureau, and Alliance Boots. Iheed was founded in 2010 and is based in Dublin, Ireland."
Turing College,"EdTech, Education, Higher Education","66,301",Turing College is an online data science school with ISAs. Tech companies co-create our curriculum and get live updates on students' performance to make hiring decisions in days rather than months.
IMAX Program,"Analytics, Artificial Intelligence, Big Data, EdTech, Education, Information Services","66,303",IMAX Program is a data drive personalization education product that builds learning genome using school assessments.
SKELAR,"Content Creators, EBooks, EdTech, Marketplace, Mobile Apps, SaaS, Software","66,319","Together with our co-founders, we assemble strong and efficient teams to launch tech businesses that will succeed in the global market. SKELAR portfolio includes a dozen businesses in different niches, from EdTech to SaaS. Our approach is simple: working with big markets, ambitious goals, and strong teams. And our key expertise lies in modern technology, deep analytics, and rapid scaling."
Mates,"CRM, E-Learning, EdTech, Education","66,323",Mates is a start-up that aims to deliver the best Education to the world by combining Education and technology.
Agenda Edu,"EdTech, Education, Knowledge Management, Mobile Apps, SaaS, Software","66,494","Agenda Edu offers a SaaS communication management and engagement in educational environments assisting educators, caregivers and students."
Xiao Heiban,"EdTech, Education, Higher Education, Information Technology","66,587","Xiao Heiban provides a school management platform to connect with students and parents. They also provide students with performance evaluations, open discussions, and support for graphics, voice, video, text, emoticons, and more."
Synchronization,"E-Learning, EdTech, Education, Higher Education, Training","66,710","Synchronization is an online course for music, philosophy, fashion and design, architecture, art, psychology, special projects, master classes, and cinema. They provide biology and a healthy lifestyle, film history, and film language."
EADBOX,"EdTech, Education, SaaS, Software","66,793","Eadbox is a platform used by Education Entrepreneurs to create and sell online courses to large audiences. Through Eadbox, every day thousands of authors teaches millions of students online.  Its unique value proposition aggregates three main elements: 1. Technology: SaaS software for authors to easily create and sell online course, in their own branded website. their customer values content and video security, tools for professional certification management, live streaming and webinar technology 2. Services: their unique best practices framework. Every new Eadbox customer has a customer success manager, specialists support and business intelligence. Their service team helps customers to apply the best practices in online course creation and launch it using the best digital marketing strategies. 3. Lead Generation: boost sales for customers. Through affiliate strategies, digital marketing support and marketplaces, Eadbox connects customers products to large audiences helping the whole ecosystem to increase sales."
Xueba100.com,"EdTech, Education, Internet, Mobile, Software","66,955","Xueba100.com (学霸君) is a provider of software developed to assist junior and senior high school students, and a free online service for explaining homework, assignments, difficult points, and more. Its “super scholar” provides professional study assistance software by answering questions and difficult problems in all subjects of junior and senior schools. Users are able to take pictures of unsolvable questions on the test paper,  upload them to the server, and later on view the procedures and answers to the questions sent back by the system. Xueba100.com uses STR Technology to simulate the true pictures of the natural environment on Deep learning Model in order to train the convolution neural network to improve the character recognition rate of fuzzy pictures and deformation text."
FLENS,"E-Learning, EdTech, Education, Training","66,957","FLENS is engage in tablet-based eLearning services and platform business. The company was established on August, 2012 and is based in Tokyo, Japan."
Nectir,"EdTech, Education, Software","67,037","Nectir is a tool for higher education that encourages collaborative learning through connecting students in the same classes. Users create an account, and are then given access to a directory of classes at their school. These class channels are collaborative learning groups where students can interact, TA's can answer questions, and Professors can get live feedback."
Pressto,EdTech,"67,053","Pressto AI is a whole new way for schools to teach writing and for students to learn writing & thinking. These skills apply across all subject areas for all types of writing. For everything kids write in & out of school, Pressto uses “Blocks” which represent the different components for a particular writing purpose. In education terms, this is ’scaffolding.’"
Kaizen Languages,"EdTech, Language Learning, Natural Language Processing","67,439","Kaizen Languages uses AI-powered tutors to revolutionize language learning. Its artificial intelligence platform teaches students through conversations. Users can use it to structure sentences, conjugate verbs, and learn new words. All of this is part of its dynamic exercises that are intended to be useful in the real world."
qlark,"Dental, EdTech, Education, Health Care, Social Network","67,461",The world’s ONLY smart learning network for dental expertise helping doctors (a)  Easily collaborate with peers globally to share knowledge (b) Improve skills and techniques from anywhere at anytime (c) Learn in real-time with a data driven approach.
Unikum,"Apps, Big Data, E-Learning, EdTech, Education, Higher Education, Marketplace, Mobile, Primary Education, SaaS","67,468","Unikum.net represents a new generation of mobile school portal apps for preschools and schools, built to be combined with collaboration platforms from Google, Microsoft, and Apple. Unikum.net typically replaces the old generation of all-in-one learning platforms and LMS systems. Focus - Unikum a mobile learning portal focused on collaboration in country & curriculum specific core school processes such as 1) Planning for learning projects, based on the curriculum, 2) Formative and summative assessment, and 3) Follow up of learning results at student, group, school, and municipality level, and 4) Planning and tracking special-needs activities and progress. Traction -  Unikum was founded in Sweden, and today has over 1 000 000 user accounts, in over 5000 schools in more than 70 cities. Unikum is growing rapidly and is preparing to enter other markets outside Sweden.  Bootstrapped Saas business model-  Unikum was founded in 2005, is bootstrapped with cash flow positive growth, and has already reached 3 MUSD annually recurring revenue ARR. Drivers for growth -  Important factors behind the growth are: 1) Everything works on all devices (mobile, tablet, portable), 2) Built to complement cloud services from e.g. Google and Microsoft, 3) A complete built-in curriculum database, and 4) A marketplace with over 500 000 lesson plans with Creative Commons licenses shared between teachers across the country."
ecadema,"E-Learning, EdTech, Education, Internet, Professional Services, Software, Tutoring, Video Chat","67,478","ecadema is an interactive e-learning platform that connects trainees with professional certified trainers in various fields around the world through private video chat sessions. Trainers may give the sessions from anywhere, as long as they have their computer and a good internet connection.  All trainers need to be certified in the course or certificate they are training in. Trainers who don't have a certificate are not accepted in the platform.  Users need a laptop or desktop computer with a camera and microphone, Google Chrome browser, and a reasonably strong internet connection. ecadema offers 4 types of user accounts: 1- Trainee: Learner; 2- Trainer: Instructor who is allowed to give one to one private sessions; 3- Mentor: Instructor who is able to give group sessions (workshops and courses) in addition to the one to one private sessions.; and 4- Corporate: a corporate account is administered by an appointed Account Manager by the corporate itself. They can list down their employees, book workshops and courses for them and track their progress. https://youtu.be/ec32tWE_0RY ecadema has developed user-friendly apps and can be found using the following link: https://support.ecadema.com/do-you-have-a-mobile-app-for-ecadema/"
Bling.de,"EdTech, Financial Services, FinTech","67,532","Bling is Europes fastest growing family-fintech and helps families understand, manage and grow money by creating an ecosystem for family finances."
Blue Canoe Learning,"Apps, Artificial Intelligence, B2B, Corporate Training, EdTech, Language Learning, Mobile Apps","67,561","Blue Canoe is an artificial intelligence (AI) B2B company that increases business productivity by improving the pronunciation and business communication of non-native English speaking employees. Blue Canoe uses a proven brain-science methodology, and scales it with speech recognition and machine learning, to create engaging mobile games that effectively help learners communicate clearly with colleagues and customers. Learners track their progress over time with an objective pronunciation score for continuous improvement. Blue Canoe partners with ESL programs and teachers, who include the app as part of their solution. Investors include Tsingyuan Ventures, Qualcomm Ventures, Kernel Labs, the Allen Institute for Artificial Intelligence, and more."
Red-crowned crane study abroad,"EdTech, Education, Online Forums","67,601","Red-crowned crane study abroad is a platform related to global on-the-job study abroad. They provide study abroad services for working students around the world. Their businesses offer products and services such as school-enterprise cooperation, language training, exam counseling, studying abroad, investment immigration, and other fields and services."
Volley AI – In Residence at JPMorgan,"Artificial Intelligence, EdTech, Education, Knowledge Management, Machine Learning, Natural Language Processing","67,607","In residence at JPMorgan Chase with >$10 million in backing from Zuckerberg Ventures, Fathom Capital, and Silicon Valley Bank (SVB); senior execs from Apple, Facebook, and Goldman Sachs; and a Silicon Valley team of machine learning and enterprise EdTech innovators from Google, the NSA and CIA, Carnegie Mellon, and Goldman, Volley (volley.com) is on mission to synthesize the world’s enterprise knowledge. The platform offers autonomous knowledge management and learning technologies for the enterprise, used in the Fortune 100 for training in cybersecurity, operational risk management, BPM, anti-fraud, corporate knowledge, sales enablement, and more. With Volley, firms accelerate time-to-expertise by automatically generating intelligent “microlearning” or ""microbriefing"" experiences personalized to employees or customers while pinpointing hidden knowledge gaps. Volley is the first such member of the UC Santa Cruz Center for Excellence in Data Science Research and a private sector advisor to the U.S. Advisory Committee on Artificial Intelligence."
VuMedi,"EdTech, Education, Health Care, Medical, Video","67,620","VuMedi is the YouTube for Surgeons. VuMedi has built the largest physician communities in the fields of Orthopaedics, Cardiovascular, Neurosurgery, Radiology, and others. VuMedi is the central place for surgeons to watch techniques, discuss challenging patients and improve the care of their patients.  Being a surgeon is hard. The typical surgeon needs to know how to do 100 different procedures, but performs each procedure only once or twice a year. How does a surgeon prepare, review and stay up to date? In the past is they read textbooks, watched DVDs, attended conferences, and talked with colleagues. Now, they use VuMedi.  VuMedi makes meaning: patients worldwide have less complications and better outcomes thanks to VuMedi."
FineTune,"Artificial Intelligence, Document Preparation, EdTech, Education, Skill Assessment, Software, Training","67,759","Finetune, formerly known as Academic Merit, is a Boston-based Educational Technology company conquering the challenging space of providing a platform for qualitative assessment at scale.  In all verticals of education and training, their platform helps bring coherence and consistency to measuring the skills and competencies that are more difficult to measure.  Additionally, their platform enables inter-rater reliability, the ability to train large number of evaluators so that they are reliable and consistent.  Their first large partnership is with the College Board, where the Finetune platform is being used to create the next generation assessment platform in the world of Advanced Placement courses."
InSimu,"EdTech, Medical","67,773","InSimu offers clinical training solutions for faculties. The company is designed to improve clinical training for medical students and professionals. Based on a special algorithm, InSimu enables users to practice with an endless number of virtual patients in the chosen subspecialties."
Sphere,"EdTech, Education, Skill Assessment, Training","67,824","Sphere's institutions can showcase their research, participate in discussions about it, and work with other institutions thanks to the company's selection of vetted leading experts who teach live, cohort-based courses for professionals around the globe. Sphere is a platform for managing content that aims to make academic content more widely accessible. Sphere was established in 2021 by Adrian Sarstedt and Nicholas Rudder in San Francisco, California."
The Endowment Project,"EdTech, Education, Information Technology","67,904","The Endowment Project is a purpose-driven for-profit education technology company building philanthropic infrastructure for public schools. Its technology- and the human resource-enabled platform is designed to help public high schools build communities from which capital is raised, managed, and deployed to enhance the educational experience for millions of students, faculty, and staff at public high schools across the U.S."
EdSights,"Artificial Intelligence, EdTech","67,993",Conversational AI to support students through college.
Learning Possibilities,"Analytics, Apps, Children, Cloud Data Services, Consulting, E-Learning, EdTech, Information Technology, SaaS, Software","68,000","Learning Possibilities develops and provides a cloud based school learning platform for education and government customers. It offers LP+4, a learning platform that provides one-click collaboration/communication tools, drag and drop resource/assignment management, integration with MIS systems, and usage analytics; and LP+365, a learning management system on Office 365 that provides an intuitive user interface, personalized dashboard, and various collaboration and assignment tools.  Learning Possibilities also provides secure Infrastructure as a Service and Software as a Service solutions to the private and public sectors. Mehool Sanghrajka founded Enterprise MPC in 1989 that became Learning Possibilities in 2007, with its headquarters in Elstree in the United Kingdom and offices in London in United Kingdom and the Middle East."
Paragon One,"E-Learning, EdTech, Education, Higher Education, Video, Virtual Workforce","68,022","Paragon One turns company work projects into scalable, online learning experiences called Remote Externships. Remote externships give students a flexible way to get their first taste of what it is like to work in different industries, no matter where they live or study. For companies, remote externships serve as scalable, early talent identification and training programs that can reach more diverse, overlooked and underserved student populations."
Novel Effect,"EdTech, Edutainment, Internet of Things, Media and Entertainment, Publishing, Speech Recognition","68,097","Seattle-based Novel Effect is the leader in voice-driven media and entertainment. Through the use of voice, Novel Effect’s products blend physical and digital worlds to create immersive and interactive experiences across books, video and games."
Skiller Whale,"Developer Tools, EdTech, Software, Training","68,155","Skiller Whale combines skill assessment with expert-led classes to provide flexibility and integration into the schedules of tech teams. They offer tech training, with courses in Python, Go, Javascript, Typescript, React, React Native, and PostgreSQL on the way."
AQai - Adaptability Assessments & Coaching,"Artificial Intelligence, EdTech, Education, Human Resources, SaaS, Wellness","68,316","OUR MOONSHOT: To open up the frontier of human adaptability. Transforming the health and wellbeing of 100M people by 2030. Guiding the way people successfully navigate the future of work, by measuring and improving adaptability at speed and scale. OUR FOCUS: Building a platform and apps to enable AI driven AQ assessments and personalized coaching, at speed and scale. Achieving THE globally recognized  - ‘AQ Index’.  OUR NICHE: Deep AI powered adaptability assessments and coaching. Delivered through a unique conversational AI chatbot user experience.  Building a worldwide movement for a ‘new operating system for change’. A marketplace for continual growth and the global authority for AQ."
Leopoly 3D & XR,"3D Printing, 3D Technology, Augmented Reality, Automotive, CAD, EdTech, Edutainment, Health Care, Printing, Software","68,319",Leopoly provides innovative software solutions for businesses to utilize XR and 3D technologies with two main focus: XR training and education software that creates interactive learning experiences available from anywhere in the world. (LeoTrainer) 3D product customization software to create customizable products that can be tailored to meet the specific needs of their customers. (LeoShape)
SoundMind,"EdTech, Health Care, Mobile Apps, Software, Wellness","68,391","SoundMind is a mental health platform that provides personalized music therapy to help individuals manage stress, anxiety, and trauma. The platform is aimed primarily at students and marginalized communities, and the company believes that music has the power to promote mental wellness. SoundMind is part of the Ed-Tech space and is dedicated to making music therapy accessible to all. It serves as a data driven solution for organizations to track their members overall wellness and give users their reset and refocus moments instantly. It was founded in 2020 and is based in Los Angeles, California."
Zzish,"Apps, E-Learning, EdTech, Education","68,402","Zzish is a smart-data EdTech company focused on giving educators the superpowers to personalise their teaching to every learner. Teachers (in schools) and trainers (in businesses) struggle to personalise their teaching to individual learners. Time constraints make it hard to understand each learner’s specific needs and provide the appropriate one-on-one help. Our core product Quizalize Classroom solves this. Our epic whole-class quiz games engage all students and enable teachers to capture real-time data on student progress and learning gaps. We then give teachers the data and tools to instantly personalise their teaching to every student through dynamic grouping and automatically personalised follow-on activities. Quizalize Insights then extends our data to give school leaders daily insight into the academic progress of every class and school in a region. At heart we’re a data company, but we have a state-of-the-art classroom game platform too. In 2022 3.3m teachers and students answered 202m questions in Quizalize Classroom. Teachers from 78 counties pay for Quizalize Classroom's premium version and school districts and divisions from the US to the Philippines are paying clients. Our largest single deployment is for 145,000 students in 147 schools."
StackFuel,"Artificial Intelligence, Corporate Training, E-Learning, EdTech, Education, Machine Learning, Personal Development, Software, Training","68,436","The StackFuel GmbH was founded by Leo Marose and Stefan Berntheisel in 2017. StackFuel offers online based upskill and reskill programs in data literacy, data science and AI that are focused on the industry needs of businesses. StackFuel helps companies master the digital transformation and upcoming skill gap by supporting an effective development of their workforce into future job roles. The innovative online courses provide a modern self-paced and flexible learning experience that includes an interactive and cloud-based programming environment in which participants develop algorithms with industry data sets. Working with well-known customers such as Telefónica, Deutsche Bahn, Daimler, BMW, IAV or Axel Springer, StackFuel currently employs more than 25 people and is based in Berlin-Kreuzberg."
Geekie,"E-Learning, EdTech, Education, Information Technology, Software","68,501","Geekie is a web-based platform that provides personalized educational content using adaptive learning technology. It allows schools and teachers to customize the format, pace, difficulty and focus of each student's learning process."
Ozobot,"EdTech, Robotics, Toys","68,570","Ozobot makes coding robots for the next generation of creators. Evo and Bit are one inch robots packed with technology that can be coded two ways: online with the OzoBlockly code editor and screen-free with Ozobot’s patented Color Codes. Evo is app-connected and updatable, a creative companion that grows with you and empowers you to play games, create with code, and share your ideas. Bit, the original Ozobot, was launched in 2014 as a great way to get started learning and loving robots. Ozobot’s robots are used in over 10,000 schools and the company’s mission is to inspire children to take the leap from consuming technology to creating technology."
Tower Bridge International Education,"EdTech, Education, Service Industry","68,721",
Yunduo Classroom,"E-Learning, EdTech, Education, SaaS","68,808",Yunduo Classroom is a SaaS service provider in the education industry that offers online education courses for independent brands.
Bitsbox,"E-Learning, EdTech, Education, STEM Education, Subscription Service","68,863","Bitsbox is a provider of a monthly subscription box used to offer increasingly advanced projects that teach children to code. The company's subscription box provides monthly coding projects that teach gradeschoolers how to program application through a website, that runs on phones and tablets, enabling children to learn to code in a hassle free way. It teaches real coding with crazy fun projects that come in the mail every month. Bitsbox was established in 2014 and is headquartered in Boulder, Colorado."
Macat,"E-Learning, EdTech, Education","68,882","Macat is dedicated to creating innovative, academically rigorous resources for students, professors, and lifelong learners worldwide that address two challenging paradigms in today’s global education landscape."
MyCaptain,"Career Planning, E-Learning, EdTech, Education","68,910","MyCaptain is an Edtech platform that helps people transform passion into a career, with guidance from 200 plus professionals who have made a mark in their respective fields.. MyCaptain aims to enable every human to pursue careers they truly love, right from Marketing, Content creation, Writing, Design, Product to name a few, and facilitate their growth in the field. The platform aims to train more than a Million learners in new age professions in the year 2025."
Practice,"Corporate Training, E-Learning, EdTech, Education, Human Resources, Management Consulting, SaaS, Skill Assessment","69,042","Practice is an applied microlearning solution used to build and sustain continuous learning cultures that increase competence and confidence and drive innovation. Practice does this by creating a scalable means for teams to frequently practice skills and receive meaningful, timely feedback through the power of peer-to-peer video assessment and coaching.  Practice's patented mobile-first video technology and learning methodology is used by organizations such as Comcast, Domino’s, Cox Automotive, NBCUniversal, PepsiCo, the University of Pennsylvania, and Harvard Medical School for reinforcement and retention of new hire training, fostering feedback, increasing collaboration, accelerating productivity, and achieving higher return on investment of learning and talent development initiatives."
